# 40 node_completed frames delivered on one connection
# frames recorded by the diagnostics ring: 42
role	at (ms)	text
status	353	Rejoined this run. Earlier checkpoints are not replayed.
log	353	Received frames, run transitions and failures, oldest first.TimeEventDetailNo frames have been received on this connection.
status	380	Reconnecting. Checkpoints during the gap are not replayed.
log	386	Received frames, run transitions and failures, oldest first.TimeEventDetail15:51:35.054framenode_completednode=checkpoint_1papers_read=115:51:35.054framenode_completednode=checkpoint_2papers_read=215:51:35.054framenode_completednode=checkpoint_3papers_read=315:51:35.054framenode_completednode=checkpoint_4papers_read=415:51:35.054framenode_completednode=checkpoint_5papers_read=515:51:35.054framenode_completednode=checkpoint_6papers_read=615:51:35.054framenode_completednode=checkpoint_7papers_read=715:51:35.054framenode_completednode=checkpoint_8papers_read=815:51:35.054framenode_completednode=checkpoint_9papers_read=915:51:35.054framenode_completednode=checkpoint_10papers_read=1015:51:35.054framenode_completednode=checkpoint_11papers_read=1115:51:35.054framenode_completednode=checkpoint_12papers_read=1215:51:35.054framenode_completednode=checkpoint_13papers_read=1315:51:35.054framenode_completednode=checkpoint_14papers_read=1415:51:35.054framenode_completednode=checkpoint_15papers_read=1515:51:35.054framenode_completednode=checkpoint_16papers_read=1615:51:35.054framenode_completednode=checkpoint_17papers_read=1715:51:35.054framenode_completednode=checkpoint_18papers_read=1815:51:35.054framenode_completednode=checkpoint_19papers_read=1915:51:35.054framenode_completednode=checkpoint_20papers_read=2015:51:35.054framenode_completednode=checkpoint_21papers_read=2115:51:35.054framenode_completednode=checkpoint_22papers_read=2215:51:35.054framenode_completednode=checkpoint_23papers_read=2315:51:35.054framenode_completednode=checkpoint_24papers_read=2415:51:35.054framenode_completednode=checkpoint_25papers_read=2515:51:35.054framenode_completednode=checkpoint_26papers_read=2615:51:35.054framenode_completednode=checkpoint_27papers_read=2715:51:35.054framenode_completednode=checkpoint_28papers_read=2815:51:35.054framenode_completednode=checkpoint_29papers_read=2915:51:35.054framenode_completednode=checkpoint_30papers_read=3015:51:35.054framenode_completednode=checkpoint_31papers_read=3115:51:35.054framenode_completednode=checkpoint_32papers_read=3215:51:35.054framenode_completednode=checkpoint_33papers_read=3315:51:35.054framenode_completednode=checkpoint_34papers_read=3415:51:35.054framenode_completednode=checkpoint_35papers_read=3515:51:35.054framenode_completednode=checkpoint_36papers_read=3615:51:35.054framenode_completednode=checkpoint_37papers_read=3715:51:35.054framenode_completednode=checkpoint_38papers_read=3815:51:35.054framenode_completednode=checkpoint_39papers_read=3915:51:35.054framenode_completednode=checkpoint_40papers_read=4015:51:35.054framestream_notemessage=connection interrupted; browser is retrying15:51:35.060connectionreconnectingfrom=opening
